x1;y1;x2;y2;Suceso;Resultado;Periodo;Min;Jugador;Equipo;Sección;Rival;Local;nombre_jugador;posicion_jugador
 502,501; 107,9;;;Aerial Duel;Lost;2;87;Asensio;Real Madrid ;Defence_Aerial Duels;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 243,211; 223,9;;;Defensive Ball Recovery;;2;83;Asensio;Real Madrid ;Attack_Ball Recoveries;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 229,945; 351,9;;;Defensive Ball Recovery;;2;86;Asensio;Real Madrid ;Attack_Ball Recoveries;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 363,208; 415,1;;;Foul;Commited;1;39;Asensio;Real Madrid ;Fouls_Committed;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 118,993; 272,3;;;Interceptions;;1;42;Asensio;Real Madrid ;Defence_Interceptions;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 586,846; 380,5; 608,554; 176,1;Pass;Chance Created;2;65;Asensio;Real Madrid ;Attack_Crosses;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 373,384; 380,5; 335,395; 272,9;Pass;Succes;1;43;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 528,958; 390,9; 498,205; 404,9;Pass;Succes;1;44;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 509,662; 326,9; 609,76; 350,1;Pass;Succes;2;46;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 422,83; 306,9; 457,804; 302,9;Pass;Succes;2;51;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 475,291; 83,7; 451,171; 95,3;Pass;Succes;2;51;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 642,322; 381,3; 624,232; 382,9;Pass;Failed;2;53;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 494,587; 116,5; 507,853; 108,5;Pass;Failed;2;59;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 594,082; 284,5; 606,142; 222,1;Pass;Chance Created;2;66;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 452,98; 382,5; 439,714; 356,5;Pass;Succes;2;70;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 273,286; 276,5; 251,578; 196,5;Pass;Failed;2;71;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 258,211; 238,9; 294,391; 170,9;Pass;Succes;2;83;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 252,181; 361,3; 246,754; 376,5;Pass;Succes;2;86;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 523,531; 277,3; 580,816; 182,1;Pass;Succes;2;86;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 643,528; 124,1; 606,745; 265,7;Pass;Chance Created;2;88;Asensio;Real Madrid ;Passes_All;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 528,958; 390,9; 498,205; 404,9;Pass;Succes;1;44;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 509,662; 326,9; 609,76; 350,1;Pass;Succes;2;46;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 422,83; 306,9; 457,804; 302,9;Pass;Succes;2;51;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 642,322; 381,3; 624,232; 382,9;Pass;Failed;2;53;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 494,587; 116,5; 507,853; 108,5;Pass;Failed;2;59;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
 594,082; 284,5; 606,142; 222,1;Pass;Chance Created;2;66;Asensio;Real Madrid ;Passes_Attacking Third;Barcelona ;1;Asensio          ;CENTROCAMPISTA
